route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9,4,1778,"TRENTON TRANSIT CENTER",1,"3839",825
9,4,1779,"TRENTON TRANSIT CENTER",1,"3843",826
9,4,1780,"TRENTON TRANSIT CENTER",1,"3847",827
9,4,1781,"TRENTON TRANSIT CENTER",1,"3883",828
9,4,1782,"TRENTON TRANSIT CENTER",1,"3895",829
9,4,1783,"TRENTON TRANSIT CENTER",1,"3897",830
9,4,1784,"TRENTON TRANSIT CENTER",1,"3943",831
9,4,1785,"TRENTON TRANSIT CENTER",1,"3957",832
9,4,1786,"JERSEY AVE.",1,"3723",833
9,4,1787,"TRENTON TRANSIT CENTER",1,"3937",834
9,4,1788,"JERSEY AVE.",1,"3701",835
9,4,1789,"TRENTON TRANSIT CENTER",1,"3947",836
9,4,1790,"TRENTON TRANSIT CENTER",1,"3951",837
9,4,1791,"TRENTON TRANSIT CENTER",1,"3953",838
9,4,1792,"JERSEY AVE.",1,"3729",839
9,4,1793,"TRENTON TRANSIT CENTER",1,"3965",840
9,4,1794,"JERSEY AVE.",1,"3721",841
9,4,1795,"NEW BRUNSWICK",1,"3171",842
9,4,1796,"JERSEY AVE.",1,"3725",843
9,4,1797,"JERSEY AVE.",1,"3165",844
9,4,1798,"TRENTON TRANSIT CENTER",1,"3959",845
9,4,1799,"JERSEY AVE.",1,"3705",846
9,4,1800,"JERSEY AVE.",1,"3709",847
9,4,1801,"JERSEY AVE.",1,"3731",848
9,4,1802,"TRENTON TRANSIT CENTER",1,"3915",849
9,4,1803,"TRENTON TRANSIT CENTER",1,"3917",850
10,1,1804,"NEW YORK PENN STATION",0,"7200",851
10,2,1805,"NEW YORK PENN STATION",0,"7204",852
10,2,1806,"NEW YORK PENN STATION",0,"7208",853
10,5,1807,"NEW YORK PENN STATION",0,"8214",854
10,2,1808,"NEW YORK PENN STATION",0,"7220",855
10,2,1809,"NEW YORK PENN STATION",0,"7224",856
10,2,1810,"NEW YORK PENN STATION",0,"7268",857
10,2,1811,"NEW YORK PENN STATION",0,"7272",858
10,2,1812,"NEW YORK PENN STATION",0,"7212",859
10,2,1813,"NEW YORK PENN STATION",0,"7216",860
10,2,1814,"NEW YORK PENN STATION",0,"7276",861
10,4,1815,"NEW YORK PENN STATION",0,"3224",862
10,4,1816,"NEW YORK PENN STATION",0,"3458",863
10,4,1817,"NEW YORK PENN STATION",0,"3514",864
10,4,1818,"NEW YORK PENN STATION",0,"3516",865
10,4,1819,"NEW YORK PENN STATION",0,"3216",866
10,4,1820,"NEW YORK PENN STATION",0,"3218",867
10,4,1821,"NEW YORK PENN STATION",0,"3502",868
10,4,1822,"NEW YORK PENN STATION",0,"3512",869
10,4,1823,"NEW YORK PENN STATION",0,"3226",870
10,4,1824,"NEW YORK PENN STATION",0,"3208",871
10,4,1825,"NEW YORK PENN STATION",0,"3212",872
10,4,1826,"NEW YORK PENN STATION",0,"3500",873
10,4,1827,"NEW YORK PENN STATION",0,"3504",874
10,4,1828,"NEW YORK PENN STATION",0,"3506",875
10,4,1829,"NEW YORK PENN STATION",0,"3510",876
10,4,1830,"NEW YORK PENN STATION",0,"3230",877
10,4,1831,"NEW YORK PENN STATION",0,"3508",878
10,4,1832,"NEW YORK PENN STATION",0,"3202",879
10,4,1833,"NEW YORK PENN STATION",0,"3222",880
10,4,1834,"NEW YORK PENN STATION",0,"3204",881
10,4,1835,"NEW YORK PENN STATION",0,"3210",882
10,3,1836,"NEW YORK PENN STATION",0,"3200",883
10,4,1837,"NEW YORK PENN STATION",0,"3236",884
10,4,1838,"NEW YORK PENN STATION",0,"3278",885
10,4,1839,"NEW YORK PENN STATION",0,"3284",886
10,4,1840,"NEW YORK PENN STATION",0,"3288",887
10,4,1841,"NEW YORK PENN STATION",0,"3232",888
10,4,1842,"NEW YORK PENN STATION",0,"3240",889
10,4,1843,"NEW YORK PENN STATION",0,"3292",890
10,20,1844,"NEW YORK PENN STATION",0,"3272",891
10,20,1845,"NEW YORK PENN STATION",0,"3270",892
10,20,1846,"NEW YORK PENN STATION",0,"3276",893
10,20,1847,"NEW YORK PENN STATION",0,"3248",894
10,20,1848,"NEW YORK PENN STATION",0,"3252",895
10,20,1849,"NEW YORK PENN STATION",0,"3256",896
10,20,1850,"NEW YORK PENN STATION",0,"3274",897
10,20,1851,"NEW YORK PENN STATION",0,"3260",898
10,20,1852,"NEW YORK PENN STATION",0,"3266",899
10,20,1853,"NEW YORK PENN STATION",0,"3244",900
10,21,1854,"NEW YORK PENN STATION",0,"7228",901
10,21,1855,"NEW YORK PENN STATION",0,"7232",902
10,21,1856,"NEW YORK PENN STATION",0,"7236",903
10,21,1857,"NEW YORK PENN STATION",0,"7240",904
10,21,1858,"NEW YORK PENN STATION",0,"7244",905
10,21,1859,"NEW YORK PENN STATION",0,"7248",906
10,21,1860,"NEW YORK PENN STATION",0,"7252",907
10,21,1861,"NEW YORK PENN STATION",0,"7256",908
10,21,1862,"NEW YORK PENN STATION",0,"7260",909
10,21,1863,"NEW YORK PENN STATION",0,"7264",910
10,22,1864,"NEW YORK PENN STATION",0,"7228",911
10,22,1865,"NEW YORK PENN STATION",0,"7232",912
10,22,1866,"NEW YORK PENN STATION",0,"7236",913
10,22,1867,"NEW YORK PENN STATION",0,"7240",914
10,22,1868,"NEW YORK PENN STATION",0,"7244",915
10,22,1869,"NEW YORK PENN STATION",0,"7248",916
10,22,1870,"NEW YORK PENN STATION",0,"7252",917
10,22,1871,"NEW YORK PENN STATION",0,"7256",918
10,22,1872,"NEW YORK PENN STATION",0,"7260",919
10,22,1873,"NEW YORK PENN STATION",0,"7264",920
10,23,1874,"NEW YORK PENN STATION",0,"3272",921
10,23,1875,"NEW YORK PENN STATION",0,"3270",922
10,23,1876,"NEW YORK PENN STATION",0,"3276",923
10,23,1877,"NEW YORK PENN STATION",0,"3248",924
10,23,1878,"NEW YORK PENN STATION",0,"3252",925
10,23,1879,"NEW YORK PENN STATION",0,"3256",926
10,23,1880,"NEW YORK PENN STATION",0,"3274",927
10,23,1881,"NEW YORK PENN STATION",0,"3260",928
10,23,1882,"NEW YORK PENN STATION",0,"3266",929
10,23,1883,"NEW YORK PENN STATION",0,"3244",930
10,5,1884,"LONG BRANCH",1,"8225",931
10,6,1885,"LONG BRANCH",1,"8247",932
